AREA NAME,AREA CODE,District Name,District,LEAD FINANCE NBR,ZIP CODE,ZIP CLASS CODE,LOCALE NAME,LOCALE KEY,LOCALE TYPE,PHYSICAL DELV ADDR,PHYSICAL CITY,PHYSICAL STATE,PHYSICAL ZIP,PHYSICAL ZIP 4
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600002,09213,M,DPO,P017332,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09214,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09216,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09227,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09240,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09241,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09242,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09250,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09261,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09263,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09264,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600002,09265,M,DPO,P017332,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09266,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600002,09276,M,DPO,P017332,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
